Key,en,es,ar
Site Base Color,Site Base Color,Color base del sitio,اللون الأساسي للموقع
Site Secondary Color,Site Secondary Color,Color secundario del sitio,اللون الثانوي للموقع
OTP Expiration,OTP Expiration,Vencimiento de la OTP,انتهاء صلاحية OTP
Seconds,Seconds,Segundos,ثواني
Web Version,Web Version,Versión Web,نسخة الويب
Site Name,Site Name,Nombre del sitio,اسم الموقع
Write Name,Write Name,Escribir nombre,اكتب الاسم
Select Timezone,Select Timezone,Selecciona la zona horaria,اختر المجال الزمني
Activated,Activated,Activado,مفعل
Deactivated,Deactivated,Desactivado,معطل
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة
Force SSL,Force SSL,Forzar SSL,فرض SSL
Email Notification,Email Notification,Notificación de correo electrónico,إشعار البريد الإلكتروني
Basic settings updated successfully!,Basic settings updated successfully!,¡La configuración básica se actualizó correctamente!,تم تحديث الإعدادات الأساسية بنجاح!
You have to configure your system mail first.,You have to configure your system mail first.,Primero debe configurar el correo de su sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً.
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Primero configure el campo KYC. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي
Basic settings status updated successfully!,Basic settings status updated successfully!,¡El estado de la configuración básica se actualizó correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (الإصدار الداكن)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الأيقونة المفضلة (الإصدار الداكن)
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,¡Configuración básica no encontrada! Por favor ejecute el sembrador de base de datos,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات
No changes to update.,No changes to update.,No hay cambios para actualizar.,لا توجد تغييرات للتحديث.
Image assets updated successfully!.,Image assets updated successfully!.,Recursos de imagen actualizados exitosamente.,تم تحديث أصول الصورة بنجاح!.
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة
Social Title,Social Title,Título social,العنوان الاجتماعي
Social Description,Social Description,Descripción social,الوصف الاجتماعي
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada con éxito!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!
Profit Growth,Profit Growth,Crecimiento de ganancias,نمو الأرباح
All,All,Todo,الجميع
1 Week,1 Week,1 semana,أسبوع 1
1 Month,1 Month,1 mes,1 شهر
1 Year,1 Year,1 año,1 سنة
Transactions And Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات
Transactions Logs,Transactions Logs,Registros de transacciones,سجلات المعاملات
Payment Link details,Payment Link details,Detalles del enlace de pago,تفاصيل رابط الدفع
After Charge,After Charge,Después de la carga,بعد الشحن
Admin Roles,Admin Roles,Funciones de administrador,أدوار المشرف
All Admin Roles,All Admin Roles,Todas las funciones de administrador,جميع أدوار المشرف
Site Title,Site Title,Título del sitio,عنوان الموقع
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),الأيقونة المفضلة (الإصدار الخفيف)
Are you sure to delete this language,Are you sure to delete this language,¿Estás seguro de eliminar este idioma?,هل أنت متأكد من حذف هذه اللغة
Tags,Tags,Etiquetas,العلامات
Cookie Allowed Success,Cookie Allowed Success,Cookie permitida exitosamente,نجاح ملفات تعريف الارتباط المسموح بها
Cookie Declined,Cookie Declined,Cookie rechazada,تم رفض ملف تعريف الارتباط
Direction,Direction,Dirección,اتجاه
No Account_web,Don't Have An Account,No tengo una cuenta,ليس لديك حساب
Reset Your Forgotten Password,Reset Your Forgotten Password,Restablecer su contraseña olvidada,إعادة تعيين كلمة المرور المنسية
forgot_desc,Take control of your account by resetting your password. Our password recovery page guides you through the necessary steps to securely reset your password,Tome el control de su cuenta restableciendo su contraseña. Nuestra página de recuperación de contraseña lo guía a través de los pasos necesarios para restablecer su contraseña de forma segura,السيطرة على حسابك عن طريق إعادة تعيين كلمة المرور الخاصة بك. ترشدك صفحة استعادة كلمة المرور الخاصة بنا إلى الخطوات اللازمة لإعادة تعيين كلمة المرور الخاصة بك بشكل آمن
reset_desc,Please Enter your new password and get login access on your Dashboard,Ingrese su nueva contraseña y obtenga acceso de inicio de sesión en su Panel de control,الرجاء إدخال كلمة المرور الجديدة الخاصة بك والحصول على حق الوصول لتسجيل الدخول على لوحة التحكم الخاصة بك
Please enter the code,Please enter the code,Por favor ingresa el código,الرجاء إدخال الرمز
We sent a 6 digit code here,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí.,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا
Didn't get the code,Didn't get the code,No obtuve el código,لم تحصل على الرمز
Verify 2FA,Verify 2FA,Verificar 2FA,التحقق من المصادقة الثنائية (2FA).
Account Has been Suspended,Account Has been Suspended,Cuenta ha sido suspendida,تم تعليق حسابك
Please check email and verify your account,Please check email and verify your account,Por favor revise el correo electrónico y verifique su cuenta.,يرجى التحقق من البريد الإلكتروني والتحقق من حسابك
Please check your mobile and verify your account,Please check your mobile and verify your account,Por favor revisa tu móvil y verifica tu cuenta.,يرجى التحقق من هاتفك المحمول والتحقق من حسابك
Login Successful,Login Successful,Inicio de sesión correcto,تم تسجيل الدخول بنجاح
The credentials does not match,The credentials does not match,Las credenciales no coinciden,بيانات الاعتماد غير متطابقة
Your Selected Country Dose Not Support To Create Account,Your Selected Country Dose Not Support To Create Account,La dosis de su país seleccionado no es compatible para crear una cuenta,جرعة الدولة التي اخترتها لا تدعم إنشاء حساب
Registration successful,Registration successful,Registro exitoso,تم التسجيل بنجاح
You can resend verification code after,You can resend verification code after,Puedes reenviar el código de verificación después,يمكنك إعادة إرسال رمز التحقق بعد ذلك
Email verification code resend successfully,Email verification code resend successfully,El código de verificación de correo electrónico se reenvía correctamente,تم إعادة إرسال رمز التحقق من البريد الإلكتروني بنجاح
Verification code does not match,Verification code does not match,El código de verificación no coincide,رمز التحقق غير متطابق
Session expired. Please try again,Session expired. Please try again,Sesión expirada. Inténtalo de nuevo,انتهت الجلسة. حاول مرة اخرى
Email successfully verified,Email successfully verified,Correo electrónico verificado exitosamente,تم التحقق من البريد الإلكتروني بنجاح
User KYC section is under maintenance,User KYC section is under maintenance,La sección KYC del usuario está en mantenimiento,قسم KYC للمستخدم قيد الصيانة
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه (KYC).
Your KYC information is submitted. Please wait for admin confirmation,Your KYC information is submitted. Please wait for admin confirmation,Se envía su información KYC. Espere la confirmación del administrador.,تم إرسال معلومات KYC الخاصة بك. الرجاء الانتظار لتأكيد المشرف
User KYC input fields fetch successfully!,User KYC input fields fetch successfully!,¡Los campos de entrada KYC del usuario se recuperaron correctamente!,تم جلب حقول إدخال KYC للمستخدم بنجاح!
KYC information successfully submitted,KYC information successfully submitted,La información KYC se envió correctamente,تم إرسال معلومات KYC بنجاح
Your secret key not stored properly. Please contact with system administrator,Your secret key not stored properly. Please contact with system administrator,Su clave secreta no se almacenó correctamente. Por favor contacte con el administrador del sistema,لم يتم تخزين مفتاحك السري بشكل صحيح. يرجى الاتصال بمسؤول النظام
Two factor verified successfully!,Two factor verified successfully!,¡Dos factores verificados con éxito!,تم التحقق من العامل الثنائي بنجاح!
Failed to login. Please try again,Failed to login. Please try again,Error al iniciar sesión. Inténtalo de nuevo,فشل في تسجيل الدخول. حاول مرة اخرى
Logout Successful,Logout Successful,Cerrar sesión exitosamente,تم تسجيل الخروج بنجاح
User doesn't exists.,User doesn't exists.,El usuario no existe.,المستخدم غير موجود.
Verification otp code sended to your email.,Verification otp code sended to your email.,Código otp de verificación enviado a su correo electrónico.,تم إرسال رمز التحقق otp إلى بريدك الإلكتروني.
Session expired. Please try again.,Session expired. Please try again.,Sesión expirada. Inténtalo de nuevo.,انتهت الجلسة. حاول مرة اخرى.
Verification OTP invalid,Verification OTP invalid,Verificación OTP no válida,التحقق من كلمة المرور لمرة واحدة (OTP) غير صالح
OTP verification successful,OTP verification successful,Verificación OTP exitosa,تم التحقق من OTP بنجاح
Oops password does not match.,Oops password does not match.,"Vaya, la contraseña no coincide.",عفوًا، كلمة المرور غير متطابقة.
Invalid Request. Please try again,Invalid Request. Please try again,Solicitud no válida. Inténtalo de nuevo,طلب غير صالح. حاول مرة اخرى
Password reset success. Please login with new password.,Password reset success. Please login with new password.,Restablecimiento de contraseña exitoso. Por favor inicie sesión con una nueva contraseña.,نجاح إعادة تعيين كلمة المرور. الرجاء تسجيل الدخول بكلمة المرور الجديدة.
Data fetched successfully,Data fetched successfully,Datos obtenidos correctamente,تم جلب البيانات بنجاح
Dashboard data successfully fetch!,Dashboard data successfully fetch!,¡Los datos del panel se recuperaron correctamente!,تم جلب بيانات لوحة المعلومات بنجاح!
Invalid Request,Invalid Request,Solicitud no válida,طلب غير صالح
You Can Not Delete Paid Invoice,You Can Not Delete Paid Invoice,No puede eliminar la factura pagada,لا يمكنك حذف الفاتورة المدفوعة
Invoice Deleted Successful,Invoice Deleted Successful,Factura eliminada exitosamente,تم حذف الفاتورة بنجاح
Data Fetch Successful,Data Fetch Successful,Obtención de datos exitosa,تم جلب البيانات بنجاح
Withdraw Information!,Withdraw Information!,¡Retirar información!,سحب المعلومات!
Invalid Gateway!,Invalid Gateway!,¡Puerta de enlace no válida!,بوابة غير صالحة!
Default Currency Not Setup Yet!,Default Currency Not Setup Yet!,¡La moneda predeterminada aún no está configurada!,العملة الافتراضية لم يتم إعدادها بعد!
Please follow the transaction limit!,Please follow the transaction limit!,¡Siga el límite de transacciones!,يرجى اتباع حد المعاملة!
Insufficient Balance!,Insufficient Balance!,¡Saldo insuficiente!,رصيد غير كافي!
Withdraw Money Inserted Successfully,Withdraw Money Inserted Successfully,Retirar dinero ingresado exitosamente,تم سحب الأموال التي تم إدخالها بنجاح
Something is wrong!,Something is wrong!,¡Algo está mal!,هناك شئ غير صحيح!
"Sorry, your payment information is invalid","Sorry, your payment information is invalid","Lo sentimos, tu información de pago no es válida.",عذرًا، معلومات الدفع الخاصة بك غير صالحة
"Invalid request, it is not manual gateway request","Invalid request, it is not manual gateway request","Solicitud no válida, no es una solicitud de puerta de enlace manual",طلب غير صالح، فهو ليس طلب بوابة يدوياً
Withdraw money request send to admin successfully,Withdraw money request send to admin successfully,Solicitud de retiro de dinero enviada al administrador con éxito,تم إرسال طلب سحب الأموال إلى المشرف بنجاح
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado exitosamente!,تم تحديث الملف الشخصي بنجاح!
Current password didn\'t match,Current password didn't match,La contraseña actual no coincide,كلمة المرور الحالية غير متطابقة
No user found,No user found,Usuario no encontrado,لم يتم العثور على المستخدم
User deleted successful,User deleted successful,Usuario eliminado exitosamente,تم حذف المستخدم بنجاح
2fa_desc,Don't forget to add this application in your google authentication app. Otherwise you can't login in your account.,"No olvide agregar esta aplicación en su aplicación de autenticación de Google. De lo contrario, no podrá iniciar sesión en su cuenta.",لا تنس إضافة هذا التطبيق في تطبيق مصادقة جوجل الخاص بك. وإلا فلن تتمكن من تسجيل الدخول إلى حسابك.
Google 2FA Updated Successfully!,Google 2FA Updated Successfully!,¡Google 2FA se actualizó con éxito!,تم تحديث Google 2FA بنجاح!
All Transactions Fetch Successful,All Transactions Fetch Successful,Todas las transacciones se obtienen con éxito,تم جلب جميع المعاملات بنجاح
Products,Products,Productos,منتجات
Create Product,Create Product,Crear producto,إنشاء المنتج
Product Image,Product Image,Imagen del producto,صورة المنتج
Product Name,Product Name,nombre del producto,اسم المنتج
Product Create,Product Create,Crear producto,إنشاء المنتج
Enter Product Name,Enter Product Name,Introduzca el nombre del producto,أدخل اسم المنتج
Product Created Successful,Product Created Successful,Producto creado con éxito,تم إنشاء المنتج بنجاح
Product status updated successfully!,Product status updated successfully!,¡Estado del producto actualizado exitosamente!,تم تحديث حالة المنتج بنجاح!
Product record not found in our system.,Product record not found in our system.,Registro de producto no encontrado en nuestro sistema.,سجل المنتج غير موجود في نظامنا.
Product Edit,Product Edit,Editar producto,تحرير المنتج
Product Link,Product Link,Enlace del producto,رابط المنتج
Product Price,Product Price,Precio del producto,سعر المنتج
Product Link Create,Product Link Create,Crear enlace de producto,إنشاء رابط المنتج
Product Link Created Successful,Product Link Created Successful,Enlace de producto creado correctamente,تم إنشاء رابط المنتج بنجاح
Currency Not Found!,Currency Not Found!,¡Moneda no encontrada!,العملة غير موجودة!
Product Updated Successful,Product Updated Successful,Producto actualizado correctamente,تم تحديث المنتج بنجاح
Product Link Edit,Product Link Edit,Enlace del producto Editar,تحرير رابط المنتج
Product Link Updated Successful,Product Link Updated Successful,Enlace del producto actualizado correctamente,تم تحديث رابط المنتج بنجاح
Product Link record not found in our system.,Product Link record not found in our system.,El registro de Product Link no se encuentra en nuestro sistema.,لم يتم العثور على سجل رابط المنتج في نظامنا.
Product Link status updated successfully!,Product Link status updated successfully!,¡El estado del enlace del producto se actualizó correctamente!,تم تحديث حالة رابط المنتج بنجاح!
Invalid Payment Link,Invalid Payment Link,Enlace de pago no válido,رابط الدفع غير صالح
"Can Not Payment Now, Please Contact Support","Can Not Payment Now, Please Contact Support","No se puede realizar el pago ahora, comuníquese con el soporte",لا يمكن الدفع الآن، يرجى الاتصال بالدعم
Payment Link Created Successful,Payment Link Created Successful,Enlace de pago creado correctamente,تم إنشاء رابط الدفع بنجاح
Payment Link Updated Successful,Payment Link Updated Successful,Enlace de pago actualizado correctamente,تم تحديث رابط الدفع بنجاح
Payment Link Status Updated Successful,Payment Link Status Updated Successful,Estado del enlace de pago actualizado correctamente,تم تحديث حالة رابط الدفع بنجاح
"Transaction Failed, Please Contact Support!","Transaction Failed, Please Contact Support!","La transacción falló, ¡comuníquese con el soporte técnico!",فشلت المعاملة، يرجى الاتصال بالدعم!
Receiver currency not found!,Receiver currency not found!,¡No se encontró la moneda del receptor!,لم يتم العثور على عملة الاستقبال!
"Transaction Failed, Please Contact With Support!","Transaction Failed, Please Contact With Support!","La transacción falló, ¡comuníquese con el soporte!",فشلت المعاملة، يرجى الاتصال بالدعم!
Transaction Successful,Transaction Successful,Transacción exitosa,عملية ناجحة
Transaction Failed. Record didn\'t saved properly. Please try again.,Transaction Failed. Record didn\'t saved properly. Please try again.,Transacción fallida. El registro no se guardó correctamente. Inténtalo de nuevo.,فشل الاجراء. لم يتم حفظ السجل بشكل صحيح. حاول مرة اخرى.
Transaction failed,Transaction failed,Transacción fallida,فشل الاجراء
Payment Canceled,Payment Canceled,Pago cancelado,تم إلغاء الدفع
Transaction Canceled,Transaction Canceled,Transacción cancelada,تم إلغاء المعاملة
Invoice Created Successful,Invoice Created Successful,Factura creada exitosamente,تم إنشاء الفاتورة بنجاح
Invoice Updated Successful,Invoice Updated Successful,Factura actualizada correctamente,تم تحديث الفاتورة بنجاح
Invoice Save As Draft,Invoice Save As Draft,Factura Guardar como borrador,فاتورة حفظ كمسودة
Invoice Published Successful,Invoice Published Successful,Factura publicada correctamente,تم نشر الفاتورة بنجاح
Gateway Currency Is Not Supported!,Gateway Currency Is Not Supported!,¡La moneda de la puerta de enlace no es compatible!,عملة البوابة غير مدعومة!
Sender currency not found!,Sender currency not found!,¡No se encontró la moneda del remitente!,لم يتم العثور على عملة المرسل!
Something Is Wrong,Something Is Wrong,Algo está mal,هناك شئ غير صحيح
Transaction Failed Failed,Transaction Failed Failed,La transacción falló,فشل الصفقة
Product Payment Link,Product Payment Link,Enlace de pago del producto,رابط دفع المنتج
"Currently, Your Product Is Inactive!","Currently, Your Product Is Inactive!",¡Actualmente su producto está inactivo!,منتجك غير نشط حاليًا!
"Currently, The Service Is  Inactive By Owner","Currently, The Service Is  Inactive By Owner","Actualmente, el servicio está inactivo por el propietario",الخدمة غير نشطة حاليًا من قبل المالك
Product deleted successfully!,Product deleted successfully!,¡Producto eliminado exitosamente!,تم حذف المنتج بنجاح!
Product Link deleted successfully!,Product Link deleted successfully!,¡El enlace del producto se eliminó correctamente!,تم حذف رابط المنتج بنجاح!
Product,Product,Producto,منتج
Total Product,Total Product,Producto total,إجمالي المنتج
Total Product Link,Total Product Link,Enlace total del producto,رابط المنتج الإجمالي
Collect Payment With Product,Collect Payment Product,Producto de pago por cobrar,جمع منتج الدفع
Collecting Payment With Product,Collecting Payment With Product,Cobro del pago con el producto,تحصيل الدفع مع المنتج
"Payment Link, Invoice, Product Link And Money Out Analytics","Payment Link, Invoice, Product Link And Money Out Analytics","Enlace de pago, factura, enlace de producto y análisis de retiro de dinero",رابط الدفع والفاتورة ورابط المنتج وتحليلات الأموال الصادرة
Product Link Logs,Product Link Logs,Registros de enlaces de productos,سجلات ارتباط المنتج
Inactive Link,Inactive Link,Enlace inactivo,رابط غير نشط
Product Link details,Product Link details,Detalles del enlace del producto,تفاصيل رابط المنتج
View Product Link,View Product Link,Ver enlace del producto,عرض رابط المنتج
"Payment Link, Invoice, Money Out","Payment Link, Invoice, Money Out","Enlace de pago, factura, retiro de dinero",رابط الدفع، الفاتورة، الأموال الخارجة
Enter your email_web,Enter your email,Introduce tu correo electrónico,أدخل بريدك الإلكتروني
Google Authenticator_desc,Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications,Google Authenticator es un autenticador basado en productos de Google que ejecuta administraciones de confirmación de dos empresas para verificar clientes de cualquier aplicación de programación.,Google Authenticator عبارة عن أداة مصادقة قائمة على المنتج من Google والتي تنفذ خدمات تأكيد المشروعين للتحقق من عملاء أي تطبيقات برمجية
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,عامل المصادقة الثنائية
Payable,Payable,Pagadero,مستحق الدفع
Fullname,Fullname,Nombre completo,الاسم الكامل
Are you sure to approved this request,Are you sure to approved this request,¿Estás seguro de haber aprobado esta solicitud?,هل أنت متأكد من الموافقة على هذا الطلب
Explain Rejection Reason,Explain Rejection Reason,Explicar el motivo del rechazo,شرح سبب الرفض
After Conversion,After Conversion,Después de la conversión,بعد التحويل
Approve,Approve,Aprobar,يعتمد
Reject,Reject,Rechazar,يرفض
Approved,Approved,Aprobado,موافقة
Money out details for,Money out details for,Detalles de retiro de dinero para,تفاصيل صرف الأموال ل
Contact Message,Contact Message,Mensaje de contacto,رسالة الاتصال
Payment Charges,Payment Charges,Cargos de pago,رسوم الدفع
Invoice details,Invoice details,Detalles de la factura,تفاصيل الفاتورة
KYC Unverified Users,KYC Unverified Users,Usuarios no verificados de KYC,KYC المستخدمين الذين لم يتم التحقق منهم
user1,User,Usuario,مستخدم
Policy Link,Policy Link,Enlace de política,رابط السياسة
